Id,Total words,Average words per sentence,Total OOV words,Average OOV words,Most frequent unigrams 1,Most frequent unigrams 2,Most frequent unigrams 3,Most frequent unigrams 4,Most frequent unigrams 5,Most frequent unigrams 6,Most frequent bigrams 1,Most frequent bigrams 2,Most frequent bigrams 3,Most frequent bigrams 4,Most frequent bigrams 5,Most frequent bigrams 6,Most frequent trigrams 1,Most frequent trigrams 2,Most frequent trigrams 3,Most frequent trigrams 4,Most frequent trigrams 5,Most frequent trigrams 6
52,246,24.6,76,0.14285714285714285,5,5,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1
53,827,21.205128205128204,162,0.08567931456548347,10,10,10,6,6,6,4,3,3,2,2,2,3,2,2,2,1,1
54,157,13.083333333333334,49,0.14193548387096774,4,4,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
55,97,19.4,23,0.1134020618556701,5,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
56,201,18.272727272727273,26,0.024875621890547265,5,5,3,3,3,3,2,2,2,2,2,1,2,2,1,1,1,1
57,238,17.0,70,0.15319148936170213,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
58,136,19.428571428571427,48,0.1865671641791045,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
59,457,13.057142857142857,158,0.12557077625570776,6,5,5,4,4,4,3,2,2,2,2,2,2,2,1,1,1,1
60,258,12.285714285714286,77,0.1225296442687747,5,5,3,3,3,2,2,2,2,1,1,1,2,1,1,1,1,1
61,309,13.434782608695652,112,0.1362126245847176,4,4,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1
62,269,17.933333333333334,83,0.1169811320754717,4,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
63,355,32.27272727272727,88,0.12044817927170869,7,5,4,4,3,3,2,2,2,2,2,2,2,2,1,1,1,1
64,234,13.764705882352942,76,0.14285714285714285,6,4,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1
65,344,18.105263157894736,103,0.11470588235294117,5,4,4,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1
66,385,17.5,144,0.12668463611859837,10,9,7,7,5,5,5,4,3,2,2,2,2,2,2,1,1,1
67,883,15.767857142857142,266,0.12775842044134728,19,13,13,11,11,8,5,4,4,3,3,2,2,2,1,1,1,1
68,480,13.333333333333334,154,0.11949685534591195,10,8,7,6,4,4,3,2,2,2,1,1,2,2,1,1,1,1
69,177,14.75,45,0.08522727272727272,8,3,3,3,3,2,2,2,2,1,1,1,2,1,1,1,1,1
70,314,16.526315789473685,87,0.125,5,4,4,4,3,3,2,1,1,1,1,1,1,1,1,1,1,1
71,335,17.63157894736842,88,0.11746987951807229,9,6,4,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1
72,512,15.515151515151516,154,0.15384615384615385,7,7,7,6,4,4,4,2,2,2,2,2,2,1,1,1,1,1
73,461,20.954545454545453,111,0.09649122807017543,7,5,4,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1
74,468,16.714285714285715,121,0.08571428571428572,8,6,6,5,5,5,5,3,2,2,2,2,2,1,1,1,1,1
75,412,19.61904761904762,132,0.11779448621553884,5,4,4,4,3,3,2,1,1,1,1,1,1,1,1,1,1,1
76,298,18.625,112,0.19243986254295534,4,4,3,3,3,3,3,2,2,2,2,1,2,1,1,1,1,1
77,351,12.535714285714286,126,0.1282798833819242,8,7,5,3,3,3,2,2,2,1,1,1,2,2,1,1,1,1
78,480,14.117647058823529,140,0.09615384615384616,12,6,6,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1
79,302,14.380952380952381,100,0.10702341137123746,6,5,4,4,4,4,3,2,2,2,2,2,2,2,1,1,1,1
80,310,14.761904761904763,100,0.16883116883116883,9,3,3,3,3,3,3,2,2,2,2,1,2,2,1,1,1,1
81,461,18.44,140,0.12472160356347439,6,5,5,4,4,4,2,2,2,2,1,1,1,1,1,1,1,1
82,332,20.75,93,0.13803680981595093,5,5,4,4,4,3,2,2,2,2,1,1,1,1,1,1,1,1
83,529,13.225,180,0.10857142857142857,8,8,6,6,5,4,3,3,2,2,1,1,1,1,1,1,1,1
84,416,13.0,154,0.1383495145631068,9,9,7,6,5,5,2,1,1,1,1,1,1,1,1,1,1,1
85,294,13.363636363636363,120,0.14634146341463414,5,5,5,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1
86,257,21.416666666666668,56,0.046875,7,4,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1
87,320,16.842105263157894,98,0.14873417721518986,6,4,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1
88,1106,16.028985507246375,367,0.1320582877959927,34,20,15,15,12,11,13,12,7,4,4,3,7,5,4,4,3,2
89,154,30.8,29,0.11333333333333333,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,235,11.19047619047619,80,0.09170305676855896,4,4,4,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1
91,1673,15.933333333333334,487,0.11885991510006064,19,17,15,14,11,10,4,4,3,3,2,2,2,1,1,1,1,1
92,577,18.03125,139,0.0913884007029877,10,5,4,4,4,3,2,2,1,1,1,1,1,1,1,1,1,1
93,195,12.1875,75,0.15789473684210525,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
94,254,16.933333333333334,88,0.1673469387755102,4,4,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
95,741,23.903225806451612,192,0.11675824175824176,10,5,5,4,4,3,2,2,2,2,1,1,1,1,1,1,1,1
96,560,22.4,173,0.15992647058823528,5,4,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1
97,112,28.0,32,0.0990990990990991,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
98,514,19.76923076923077,165,0.1324110671936759,8,6,5,5,5,4,2,2,2,2,1,1,1,1,1,1,1,1
99,245,12.894736842105264,57,0.06995884773662552,9,7,6,4,4,3,7,5,2,2,2,1,5,2,2,1,1,1
100,197,14.071428571428571,62,0.14432989690721648,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
101,619,15.097560975609756,156,0.11764705882352941,6,5,5,5,4,4,2,2,2,2,1,1,1,1,1,1,1,1
102,445,15.344827586206897,147,0.1351981351981352,6,5,5,4,4,3,2,2,2,2,2,1,1,1,1,1,1,1
103,243,14.294117647058824,78,0.12605042016806722,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1
104,1391,14.34020618556701,412,0.10901162790697674,35,27,25,22,19,14,5,4,4,4,3,3,3,2,2,2,2,2
105,318,16.736842105263158,100,0.1111111111111111,5,4,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1
106,130,21.666666666666668,34,0.07086614173228346,4,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1
107,192,16.0,62,0.14893617021276595,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
108,345,20.294117647058822,88,0.11695906432748537,5,4,3,3,3,3,3,2,2,2,2,1,2,1,1,1,1,1
109,480,11.707317073170731,160,0.11368421052631579,14,13,12,11,8,8,9,7,5,4,3,3,5,4,4,3,3,2
110,370,14.23076923076923,117,0.12295081967213115,5,5,5,4,4,3,2,2,2,1,1,1,1,1,1,1,1,1
111,702,20.057142857142857,221,0.13629842180774748,10,10,9,8,8,7,8,4,4,3,3,2,3,3,2,2,2,2
112,315,18.529411764705884,100,0.14790996784565916,6,5,5,4,4,4,3,2,1,1,1,1,1,1,1,1,1,1
113,258,15.176470588235293,93,0.145748987854251,3,3,3,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1
114,315,17.5,91,0.10476190476190476,6,6,6,3,3,3,2,2,2,1,1,1,2,1,1,1,1,1
115,175,13.461538461538462,61,0.12716763005780346,5,4,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1
116,313,15.65,103,0.12903225806451613,6,4,4,3,3,3,3,2,2,2,2,1,2,1,1,1,1,1
117,914,16.321428571428573,299,0.11968680089485459,14,13,12,7,7,7,3,2,2,2,2,2,1,1,1,1,1,1
118,470,12.702702702702704,154,0.12121212121212122,8,6,5,5,4,4,2,2,2,2,1,1,1,1,1,1,1,1
119,240,16.0,90,0.13924050632911392,6,4,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
120,182,13.0,70,0.16759776536312848,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
121,205,13.666666666666666,109,0.13705583756345177,10,10,9,4,4,4,3,3,3,2,2,2,2,2,2,1,1,1
122,258,16.125,80,0.12648221343873517,5,5,4,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1
123,261,17.4,131,0.1935483870967742,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
124,159,12.23076923076923,48,0.1282051282051282,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
125,395,16.458333333333332,160,0.12532637075718014,10,5,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1
