Id,Total words,Average words per sentence,Total OOV words,Average OOV words,Most frequent unigrams 1,Most frequent unigrams 2,Most frequent unigrams 3,Most frequent unigrams 4,Most frequent unigrams 5,Most frequent unigrams 6,Most frequent bigrams 1,Most frequent bigrams 2,Most frequent bigrams 3,Most frequent bigrams 4,Most frequent bigrams 5,Most frequent bigrams 6,Most frequent trigrams 1,Most frequent trigrams 2,Most frequent trigrams 3,Most frequent trigrams 4,Most frequent trigrams 5,Most frequent trigrams 6
174,393,19.65,73,0.06701030927835051,14,9,8,7,7,5,3,3,2,2,2,2,2,2,2,2,2,2
175,542,17.483870967741936,143,0.11623616236162361,11,9,8,8,8,7,4,3,2,2,2,2,2,2,2,2,2,2
176,329,18.27777777777778,65,0.08923076923076922,9,4,4,4,3,3,3,2,2,2,2,1,2,2,2,2,1,1
177,293,19.533333333333335,58,0.07191780821917808,9,8,5,4,4,3,3,2,2,2,2,1,2,2,1,1,1,1
178,231,10.5,55,0.09649122807017543,9,8,6,3,3,2,6,3,3,2,2,2,2,2,2,2,2,1
179,488,16.82758620689655,116,0.10655737704918032,21,16,9,9,6,6,6,3,2,2,2,2,2,2,2,1,1,1
180,272,14.31578947368421,71,0.10408921933085502,6,5,3,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1
181,385,21.38888888888889,102,0.1260053619302949,8,7,6,5,5,5,2,2,2,2,2,2,2,1,1,1,1,1
182,537,17.322580645161292,124,0.10800744878957169,11,8,6,5,5,5,5,2,2,2,2,2,2,2,2,1,1,1
183,435,17.4,95,0.11290322580645161,15,13,10,8,6,4,5,5,5,4,4,4,4,4,3,3,2,2
184,537,20.653846153846153,108,0.1033210332103321,10,8,7,7,6,6,6,3,2,2,2,2,2,2,1,1,1,1
185,658,18.8,130,0.0790273556231003,11,6,6,5,5,5,3,3,3,2,2,2,2,2,2,2,1,1
186,298,17.529411764705884,65,0.050505050505050504,4,4,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1
187,278,18.533333333333335,79,0.09665427509293681,5,4,3,3,3,2,3,2,2,1,1,1,1,1,1,1,1,1
188,337,24.071428571428573,63,0.08035714285714286,15,15,8,6,6,4,9,2,2,2,2,2,2,2,2,2,2,1
189,385,19.25,113,0.15748031496062992,11,9,7,7,7,7,7,6,5,4,3,3,5,4,3,3,2,2
190,389,16.208333333333332,94,0.10256410256410256,18,6,5,5,5,5,3,3,3,2,2,2,3,2,1,1,1,1
191,235,23.5,38,0.07758620689655173,7,5,4,4,2,2,4,2,1,1,1,1,1,1,1,1,1,1
192,386,14.296296296296296,72,0.07772020725388601,5,5,5,4,3,3,3,2,2,2,2,2,1,1,1,1,1,1
193,308,17.11111111111111,41,0.04220779220779221,12,6,4,4,3,3,2,2,2,2,2,1,2,1,1,1,1,1
194,383,13.678571428571429,138,0.16062176165803108,15,13,8,8,5,5,5,5,3,2,2,2,5,2,1,1,1,1
195,579,28.95,84,0.04655172413793104,9,8,6,4,4,4,4,2,2,2,2,2,2,2,1,1,1,1
196,350,19.444444444444443,88,0.12931034482758622,10,7,4,4,4,3,3,3,2,2,2,2,2,1,1,1,1,1
197,497,19.115384615384617,111,0.1292929292929293,12,12,10,4,4,4,2,2,2,2,2,2,2,1,1,1,1,1
198,254,15.875,86,0.1062992125984252,9,9,9,4,3,3,9,9,2,2,1,1,9,1,1,1,1,1
199,370,21.764705882352942,90,0.1105121293800539,8,7,7,6,5,5,4,2,2,2,2,2,2,2,1,1,1,1
200,348,19.333333333333332,84,0.11504424778761062,6,6,5,5,5,3,3,2,2,1,1,1,1,1,1,1,1,1
201,376,12.96551724137931,83,0.10933333333333334,9,6,6,6,6,6,3,3,3,3,2,2,3,2,2,2,1,1
202,407,19.38095238095238,96,0.1262135922330097,12,8,7,7,5,3,7,6,3,3,2,2,3,3,3,2,1,1
203,336,17.68421052631579,103,0.16417910447761194,18,6,4,4,4,4,4,3,2,2,2,2,2,1,1,1,1,1
204,403,14.925925925925926,107,0.12935323383084577,11,11,10,7,6,5,3,2,2,2,2,2,1,1,1,1,1,1
205,304,21.714285714285715,102,0.19141914191419143,9,4,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1
206,240,15.0,49,0.0875,7,5,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1
207,452,19.652173913043477,93,0.07640449438202247,8,6,6,5,5,5,3,2,2,2,2,2,2,1,1,1,1,1
